S01	S02	S03	S04	S06	S07
ASV_412	0	0	0	3	23	0
ASV_413	0	0	0	4	22	0
ASV_414	0	0	0	0	0	26
ASV_415	0	0	0	0	0	26
ASV_416	25	0	0	0	0	0
ASV_417	22	0	0	0	3	0
ASV_418	25	0	0	0	0	0
ASV_419	25	0	0	0	0	0
ASV_420	0	0	0	25	0	0
ASV_421	0	0	0	25	0	0
ASV_422	0	0	0	0	25	0
ASV_423	0	0	0	0	25	0
ASV_424	0	0	0	0	17	8
ASV_425	24	0	0	0	0	0
ASV_426	15	0	0	0	0	9
ASV_427	0	0	0	12	0	12
ASV_428	0	0	0	24	0	0
ASV_429	0	0	0	0	24	0
ASV_430	0	0	0	0	24	0
ASV_431	0	0	0	0	24	0
ASV_432	0	0	0	0	24	0
ASV_433	0	0	0	0	0	24
ASV_434	0	0	0	0	23	0
ASV_435	22	0	0	0	0	0
ASV_436	14	0	0	0	0	8
ASV_437	0	22	0	0	0	0
ASV_438	0	0	22	0	0	0
ASV_439	0	0	0	22	0	0
ASV_440	0	0	0	22	0	0
ASV_441	0	0	0	16	6	0
ASV_442	0	0	0	3	11	8
ASV_443	0	0	0	0	22	0
ASV_444	0	0	0	0	12	10
ASV_445	0	0	0	0	8	14
ASV_446	0	0	0	0	22	0
ASV_447	0	0	0	0	22	0
ASV_448	0	0	0	0	22	0
ASV_449	0	0	0	0	0	22
ASV_450	0	0	0	0	0	22
ASV_451	18	0	0	0	3	0
ASV_452	21	0	0	0	0	0
ASV_453	21	0	0	0	0	0
ASV_454	0	21	0	0	0	0
ASV_455	0	21	0	0	0	0
ASV_456	0	21	0	0	0	0
ASV_457	0	21	0	0	0	0
ASV_458	0	0	0	0	0	21
ASV_459	20	0	0	0	0	0
ASV_460	0	0	20	0	0	0
ASV_461	0	0	20	0	0	0
ASV_462	0	0	20	0	0	0
ASV_463	0	0	0	20	0	0
ASV_464	0	0	0	20	0	0
ASV_465	0	0	0	13	7	0
ASV_466	0	0	0	0	20	0
ASV_467	0	0	0	0	20	0
ASV_468	0	19	0	0	0	0
ASV_469	0	0	19	0	0	0
ASV_470	0	0	0	0	19	0
ASV_471	0	0	0	0	19	0
ASV_472	0	0	0	0	0	19
ASV_473	0	0	0	0	0	19
ASV_474	0	0	0	0	0	19
ASV_475	18	0	0	0	0	0
ASV_476	18	0	0	0	0	0
ASV_477	0	18	0	0	0	0
ASV_478	0	0	18	0	0	0
ASV_479	0	0	18	0	0	0
ASV_480	0	0	0	0	18	0
ASV_481	0	0	0	0	18	0
ASV_482	0	0	0	0	0	18
ASV_483	14	3	0	0	0	0
ASV_484	8	0	0	0	9	0
ASV_485	17	0	0	0	0	0
ASV_486	0	17	0	0	0	0
ASV_487	0	17	0	0	0	0
ASV_488	0	0	0	17	0	0
ASV_489	0	0	0	7	10	0
ASV_490	0	0	0	0	17	0
ASV_491	0	0	0	0	17	0
ASV_492	0	0	0	0	13	4
ASV_493	0	0	0	0	12	5
ASV_494	0	0	0	0	0	17
